plot_name,lat,long,location
HOM-01,15.34334683,-1.468400887,mali
HOM-02,15.33498444,-1.547703321,mali
IBG-02,-15.9522,-47.8717,brazil
IBG-01,-15.9499,-47.871,brazil
IBG-03,-15.9304,-47.873,brazil
IBG-04,-15.9446,-47.8606,brazil
ALC-01,-2.528658,-54.90864,brazil
BBI-01,12.7314,-1.1653,burkina faso
BBI-02,12.73354475,-1.162181947,burkina faso
