"MDJ-01","  61","  33","  21","  18","  47","  39","  81","  29","  44","  53","  64","  29","  81","  58","  52","  50","  77","  10","  22","  38","  22","  15","  17","  15","  19","  10","  13","  54","  17","  22","  11","  20","  53","  14","  18","  13","  31","  21","  38","  19","   8","  22","  14","  12","  12","  12","  10","  11","  61","  15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDJ-02","   9","   8","   9","   9","   9","  10","   9","   9","   9","  10","   9","  11","  12","  10","  12","  10","  10","  10","  10","  11","  11","  11","  11","  10","  11","  11","  11","  10","  11","  11","  11","  11","  10","  10","  10","  11","  11","   9","  10","  10","   9","   9","   9","  10","   7","  10","  10","  10","  10","   9","   9","   9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDJ-03","  67","  61","  61","  71","  59","  60","  71","  66","  57","  71","  72","  60","  80","  76","  74","  75","  58","  56","  71","  75","  71","  64","  73","  74","  59","  60","  74","  75","  69","  28","  75","  29","  72","  28","  13","  72","  63","  50","  60","  58","  50","  46","  71","  76","  29","  61","  71","  66","  34","  53","  60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDJ-04","  12","  10","   9","   7","  12","  10","   9","  10","  10","   9","   9","   9","  10","   9","   8","   8","   9","   9","   9","   9","   7","   9","   8","  10","   8","   8","  10","   8","   8","   9","   9","  10","   9","   8","   9","   9","   8","  11","  11","   9","   9","   9","   9","  10","  10","  11","  10","   9","   9","  10","   9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDJ-05","  42","  28","  46","  71","  66","  28","  51","  72","  64","  35","  67","  56","  51","  40","  56","  75","  49","  68","  50","  44","  21","  36","  58","  70","  15","  35","  62","  51","  51","  60","  72","  67","  50","  16","  60","  61","  40","  58","  53","  29","  51","  60","  28","  56","  72","  29","   3","  63","  50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDJ-06","  67","  26","  12","  11","  11","  73","  61","  69","  12","  11","  13","  11","  70","  60","  19","  12","  12","  11","  11","   9","  66","  71","  25","  12","  11","  12","  13","  14","  77","  64","  13","  10","  10","  11","  10","  10","  62","  45","  21","  11","  10","   9","  11","  13","  11","  10","  11","  11","  11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDJ-07","  71","  42","  73","  60","  56","  73","  72","  76","  81","  79","  66","  73","  73","  44","  74","  36","  77","  73","  72","  76","  79","  78","  63","   9","  76","  73","  75","  78","  71","  81","  14","  18","  78","  71","  71","  70","  71","  75","  67","  74","  62","  65","  70","  73","  70","  63","  64","  69","  55","  63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDJ-08","  10","   9","  10","  10","  10","   9","  10","  10","  10","   9","  12","  10","   9","  10","  11","  10","  10","  10","  10","  10","  10","  10","  11","  10","  10","  10","  11","  10","  11","  11","  10","  11","  11","  10","  11","  11","  10","   9","  11","  11","   9","   9","  10","   9","  11","  10","  12","  11","  11","  11","  10","  10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFI-01","  18","   9","  11","  12","  15","  12","   5","  14","  17","  15","  33","  21","  14","  19","  17","  16","  15","  15","  14","  20","  33","  32","  19","  24","  18","  14","  14","  15","  26","  27","  17","  26","  15","  14","  18","  33","  25","  25","  29","  16","  17","  29","  17","  36","  18","  14","  29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFI-02","  41","  19","  26","  33","   6","  12","  23","  24","  41","  35","   9","  10","  15","  18","  15","  24","  19","  31","  15","  13","  21","  14","  15","  12","  29","  17","  14","  19","  34","  21","  16","  15","  25","  17","  17","  23","  21","  14","  21","  10","  14","  27","  17","  30","  17","  16","  18","  13","  31","  21","  19","  14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
