"ALC-01","  15","  16","  13","  13","  13","  15","  15","  14","  14","  13","  14","  14","  14","  15","  12","  12","  14","  13","  16","  13","  15","  14","  12","  14","  16","   9","  12","  12","  15","  14","  19","  14","  14","  11","  14","  16","  15","  16","  14","  16","  12","  11","  18","  17","  14","  12","  12","  12","  17","  15","  13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALF-01","  76","  75","  77","  76","  78","  76","  79","  82","  67","  76","  83","  78","  82","  77","  80","  82","  77","  71","  80","  76","  80","  78","  34","  80","  83","  63","  79","  73","  69","  69","  82","  69","  74","  82","  64","  72","  75","  83","  69","  75","  75","  66","  69","  80","  80","  78","  67","  71","  77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ALF-02","  76","  71","  74","  74","  77","  73","  81","  83","  64","  80","  79","  77","  76","  75","  78","  76","  67","  71","  32","  67","  53","  72","  71","  76","  70","  80","  76","  62","  74","  74","  78","  72","  75","  76","  72","  39","  72","  75","  72","  43","  70","  81","  37","  71","  77","  72","  65","  78","  83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLO-01","  75","  75","  75","  75","  76","  75","  74","  57","  63","  73","  80","  76","  74","  69","  54","  71","  61","  69","  69","  76","  69","  61","  71","  72","  54","  69","  75","  74","  80","  77","  28","  69","  70","  77","  69","  75","  67","  75","  61","  75","  70","  74","  66","  72","  75","  68","  65","  58","  69","  78","  70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-01","  11","  10","   9","   8","  13","  12","  13","  10","   9","   8","  10","  13","  13","  10","  12","  10","   9","  11","  13","  11","   3","   8","  10","  10","  10","  11","   8","   3","   2","   4","  12","  10","   9","   2","   3","   2","   4","   8","   3","   3","   3","   3","   2","   1","   2","   2","   2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-02","   3","   2","   3","   1","   3","   3","   3","   3","   1","   3","   3","   3","   3","   3","   3","   2","   3","   2","   3","   3","   3","   3","   3","   3","  12","   3","   3","   3","   3","   3","   3","   3","   3","   3","   3","   3","   3","   2","   2","  11","   3","   3","   3","   3","   2","   3","  11","  10","   2","   1","   3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-03","  14","  12","  15","  10","  20","  12","  15","  11","  21","  17","  13","  10","  16","  16","  13","  16","  15","  14","   7","  16","   8","  21","  13","  15","  12","  10","   9","  16","  20","  19","  12","  15","  18","  17","   9","  18","  22","  14","  13","  13","  16","  10","  14","  13","  13","  15","  16","  13","  15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBG-04","  13","  13","  14","  19","  11","  10","  16","  13","  16","  19","  13","  11","  11","  15","  15","  14","  13","  12","  12","  15","  15","  17","  16","   9","  10","  13","  13","  14","  14","  11","  15","  11","   9","  15","  14","  12","   8","   9","  15","  11","  15","  12","  13","  10","  11","  11","  13","  16","  10","  11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFB-03","  16","  16","  23","  22","  16","  18","  21","  19","  25","  25","  20","  22","  35","  31","  47","  18","  21","  29","  22","  34","  25","  33","  35","  16","  17","  16","  18","  17","  30","  35","  27","  19","  17","  18","  19","  27","  27","  21","  30","  19","  21","  20","  22","  23","  28","  12","  19","  17","  25","  14","  22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXV-02","  12","  17","  16","  16","  19","  18","  18","  16","  16","  17","  10","   7","  16","  16","  18","  16","  12","   9","   6","  23","  21","  17","  18","  12","   7","   5","   2","  16","  17","  20","  21","  16","   9","   5","  21","  22","  16","  15","  16","  10","   5","  24","  22","  21","  13","  10","  21","  22","  13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
